n,Heapsort,Quicksort
59800,4750130,37456179
59900,4758590,37653192
60000,4767080,37849988
60100,4775600,37912408
60200,4784130,38116932
60300,4792610,38342726
60400,4801150,38300071
60500,4809660,38512522
60600,4818050,38638643
60700,4826570,38566370
60800,4835100,39010811
60900,4843690,38797320
61000,4852110,39153426
61100,4860620,39457696
61200,4869250,39407092
61300,4877530,39306378
61400,4886220,39425885
61500,4894580,39714567
61600,4903150,39776030
61700,4911690,39845222
61800,4920140,39997108
61900,4928740,40205135
62000,4937140,40248542
62100,4945640,40296279
62200,4954170,40599323
62300,4962670,40750749
62400,4971210,40755135
62500,4979650,40877556
62600,4988140,40965053
62700,4996620,41363952
62800,5005160,41273079
62900,5013740,41494490
63000,5022180,41547375
63100,5030710,41857753
63200,5039270,42075354
63300,5047770,42011698
63400,5056210,42259381
63500,5064630,42165686
63600,5073270,42706445
63700,5081640,42301044
63800,5090270,42724896
63900,5098790,43125254
64000,5107340,42852105
64100,5115770,43073698
64200,5124230,43114987
64300,5132850,43190757
64400,5141350,43636091
64500,5149840,43476085
64600,5158330,43763519
64700,5166770,43632136
64800,5175320,43747108
64900,5183870,44145985
65000,5192430,44196383
65100,5200900,44220126
65200,5209430,44464965
65300,5217890,44533050
65400,5226470,44937038
65500,5234850,44798514
65600,5243750,45084032
65700,5252790,44989868
65800,5261850,45665202
65900,5270930,45549691
66000,5279940,45292572
66100,5288960,45727123
66200,5298070,46081893
66300,5307160,46004249
66400,5316010,46095001
66500,5325120,46360430
66600,5334100,46458229
66700,5343250,46524100
66800,5352230,46563835
66900,5361250,46707412
67000,5370390,46722315
67100,5379370,46984008
67200,5388380,47020236
67300,5397530,47243685
67400,5406500,47734841
67500,5415630,47826137
67600,5424580,47656664
67700,5433610,47903773
67800,5442700,48138547
67900,5451670,48277641
68000,5460710,48101917
68100,5469850,48272069
68200,5478920,48414681
68300,5487880,48931842
68400,5496920,48802837
68500,5505890,49104308
68600,5515020,49248455
68700,5524040,49266979
68800,5533060,49652391
68900,5542150,49516123
69000,5551100,49710905
69100,5560240,49930920
69200,5569280,50255464
69300,5578260,50215096
69400,5587240,50279808
69500,5596360,50569456
69600,5605410,50480952
69700,5614480,50633651
69800,5623460,50974806
69900,5632610,51237854
70000,5641510,51189553
70100,5650560,51370475
70200,5659600,51505545
70300,5668810,51609768
70400,5677790,51855581
70500,5686740,51842153
70600,5695930,52127609
70700,5704840,52205627
70800,5713860,52568670
70900,5722970,52397812
71000,5731920,52404416
71100,5741060,52899884
71200,5750060,52633025
71300,5759090,53061068
71400,5768180,53431044
71500,5777250,53358578
71600,5786310,53535914
71700,5795320,53711655
